TIME,SPEED,RPM,Intake Temp.,MAF (g/s),Engine Load,Fuel Rail Press.,AFR,Long B2 Trim,Timing Adv.,Coolant Temp.
2023-08-05 00:27:18.915053,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:19.165947,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:19.416857,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:19.667758,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:19.918655,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:20.169555,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:20.420431,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:20.671296,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:20.922240,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:21.173205,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:21.424070,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:21.674808,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:21.925748,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:22.176672,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:22.427490,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:22.678338,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:22.929219,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:23.180065,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:23.430943,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:23.681831,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:23.932741,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:24.183558,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:24.434428,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:24.685352,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:24.936225,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:25.187042,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:25.437924,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:25.688797,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:25.939627,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:26.190505,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:26.441401,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:26.692345,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:26.943363,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:27.194236,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:27.445138,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:27.696047,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:27.946910,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:28.197774,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:28.448652,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:28.699584,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:28.950461,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:29.201489,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:29.452357,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:29.703231,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:29.954144,0,0,0,0,0,0,0,0,0,0
